Part,Value,Device,Package,Description,AVAILABILITY,DESCRIPTION,MF,MP,MPN,OC_FARNELL,OC_NEWARK,PACKAGE,POPULARITY,PRICE,PURCHASE-URL,SPICEPREFIX,TP_SIGNAL_NAME
C1,0.1u,C-EUC1206,C1206,"CAPACITOR, European symbol",,,,,,,,,54,,,C,
C2,100uF,CPOL-USCT6032,CT6032,"POLARIZED CAPACITOR, American symbol",,,,,,,,,0,,,C,
C3,0.1u,C-EUC1206,C1206,"CAPACITOR, European symbol",,,,,,,,,54,,,C,
C4,0.1u,C-EUC1206,C1206,"CAPACITOR, European symbol",,,,,,,,,54,,,C,
C5,0.1u,C-EUC1206,C1206,"CAPACITOR, European symbol",,,,,,,,,54,,,C,
C6,0.1u,C-EUC1206,C1206,"CAPACITOR, European symbol",,,,,,,,,54,,,C,
C7,22pF,C-EUC1206,C1206,"CAPACITOR, European symbol",,,,,,,,,54,,,C,
C8,22pF,C-EUC1206,C1206,"CAPACITOR, European symbol",,,,,,,,,54,,,C,
C9,100uF,CPOL-USCT6032,CT6032,"POLARIZED CAPACITOR, American symbol",,,,,,,,,0,,,C,
C10,100uF,CPOL-USCT6032,CT6032,"POLARIZED CAPACITOR, American symbol",,,,,,,,,0,,,C,
C11,0.1u,C-EUC1206,C1206,"CAPACITOR, European symbol",,,,,,,,,54,,,C,
C12,100uF,CPOL-USCT6032,CT6032,"POLARIZED CAPACITOR, American symbol",,,,,,,,,0,,,C,
C13,0.1u,C-EUC1206,C1206,"CAPACITOR, European symbol",,,,,,,,,54,,,C,
C14,100uF,CPOL-USCT6032,CT6032,"POLARIZED CAPACITOR, American symbol",,,,,,,,,0,,,C,
C15,100uF,CPOL-USCT6032,CT6032,"POLARIZED CAPACITOR, American symbol",,,,,,,,,0,,,C,
D1,SS14,ES2D,SMB,DIODE,,,,,,,,,3,,,,
D2,1N5819-B,1N5819-B,DO41-7.6,1.0A SCHOTTKY BARRIER RECTIFIER,,,,,,,,,11,,,,
IC1,7805DT,7805DT,TO252,Positive VOLTAGE REGULATOR,,,,,,,,,0,,,,
IC2,REG1117,REG1117,SOT223,800mA and 1A Low Dropout (LDO) Positive Regulator,,,,,REG1117,1097566,14P6981,,49,,,,
IC3,7905,79L05Z,TO92,Negative VOLTAGE REGULATOR,,,,,,,,,0,,,,
J1,DCJ0202,DCJ0202,DCJ0202,DC POWER JACK,,,,,,unknown,unknown,,17,,,,
JMP1,0R-JUMPC,0R-JUMPC,C0R-JMP,SMD 0R 0805 Jumper,,,,,,,,,0,,,,
JMP2,0R-JUMPC,0R-JUMPC,C0R-JMP,SMD 0R 0805 Jumper,,,,,,,,,0,,,,
JMP3,0R-JUMPC,0R-JUMPC,C0R-JMP,SMD 0R 0805 Jumper,,,,,,,,,0,,,,
JP3,,PINHD-1X4,1X04,PIN HEADER,,,,,,,,,91,,,,
JP6,,PINHD-1X12,1X12,PIN HEADER,,,,,,,,,28,,,,
L1,100uH,L-US0204/5,0204/5,"INDUCTOR, American symbol",,,,,,,,,0,,,L,
L2,100uH,L-US0204/5,0204/5,"INDUCTOR, American symbol",,,,,,,,,0,,,L,
L3,100uH,L-US0204/5,0204/5,"INDUCTOR, American symbol",,,,,,,,,0,,,L,
L4,1mH/1A,L-US6000-XXX-RC,6000-XXXX-RC,"INDUCTOR, American symbol",,,,,,,,,5,,,L,
LCDHEADER,,MA20-2,MA20-2,PIN HEADER,,,,,,unknown,unknown,,1,,,,
LED1,,LEDCHIPLED_1206,CHIPLED_1206,LED,,,,,,,,,28,,,,
Q1,8MHz,CRYSTALHC49S,HC49/S,CRYSTAL,,,,,,1667008,unknown,,49,,,,
R1,1K,R-US_R0805,R0805,"RESISTOR, American symbol",,,,,,,,,85,,,R,
R2,470R,R-US_R0805,R0805,"RESISTOR, American symbol",,,,,,,,,85,,,R,
R3,10K,R-US_R0805,R0805,"RESISTOR, American symbol",,,,,,,,,85,,,R,
R4,1.5K,R-US_R0805,R0805,"RESISTOR, American symbol",,,,,,,,,85,,,R,
R5,10K,R-US_R0805,R0805,"RESISTOR, American symbol",,,,,,,,,85,,,R,
R6,470R,R-US_R0805,R0805,"RESISTOR, American symbol",,,,,,,,,85,,,R,
R7,1K,R-US_R0805,R0805,"RESISTOR, American symbol",,,,,,,,,85,,,R,
R8,10K,R-US_R0805,R0805,"RESISTOR, American symbol",,,,,,,,,85,,,R,
R9,180E,R-US_R0805,R0805,"RESISTOR, American symbol",,,,,,,,,85,,,R,
R10,1K,R-US_R0805,R0805,"RESISTOR, American symbol",,,,,,,,,85,,,R,
R11,1K,R-US_R0805,R0805,"RESISTOR, American symbol",,,,,,,,,85,,,R,
R12,1K,R-US_R0805,R0805,"RESISTOR, American symbol",,,,,,,,,85,,,R,
R13,10K,R-US_R0805,R0805,"RESISTOR, American symbol",,,,,,,,,85,,,R,
R14,10K,R-US_R0805,R0805,"RESISTOR, American symbol",,,,,,,,,85,,,R,
R15,22E,R-US_R0805,R0805,"RESISTOR, American symbol",,,,,,,,,85,,,R,
R16,22E,R-US_R0805,R0805,"RESISTOR, American symbol",,,,,,,,,85,,,R,
R17,1.5K,R-US_R0805,R0805,"RESISTOR, American symbol",,,,,,,,,85,,,R,
S1,,10-XX,B3F-10XX,OMRON SWITCH,,,,,B3F-1000,176432,36M3542,,72,,,,
SIGGEN,,PINHD-1X2,1X02,PIN HEADER,,,,,,,,,98,,,,
SJ1,,SJW,SJW,SMD solder JUMPER,,,,,,,,,3,,,,
SJ2,,SJW,SJW,SMD solder JUMPER,,,,,,,,,3,,,,
SJ3,,SJW,SJW,SMD solder JUMPER,,,,,,,,,3,,,,
SJ4,,SJ,SJ,SMD solder JUMPER,,,,,,,,,33,,,,
SJ5,,SJ,SJ,SMD solder JUMPER,,,,,,,,,33,,,,
T1,8550,#NAME?,TO92,PNP Transistror,,,,,,,,,0,,,,
T2,9014,#NAME?,TO92,NPN Transistror,,,,,,,,,0,,,,
TP1,"TPB1,27","TPB1,27","B1,27",Test pad,,,,,,,,,19,,,,
TP2,"TPB1,27","TPB1,27","B1,27",Test pad,,,,,,,,,19,,,,
TP3,"TPB1,27","TPB1,27","B1,27",Test pad,,,,,,,,,19,,,,
TP4,"TPB1,27","TPB1,27","B1,27",Test pad,,,,,,,,,19,,,,
TP5,"TPB1,27","TPB1,27","B1,27",Test pad,,,,,,,,,19,,,,
TP6,"TPB1,27","TPB1,27","B1,27",Test pad,,,,,,,,,19,,,,
TP7,"TPB1,27","TPB1,27","B1,27",Test pad,,,,,,,,,19,,,,
TP8,"TPB1,27","TPB1,27","B1,27",Test pad,,,,,,,,,19,,,,
TP9,"TPB1,27","TPB1,27","B1,27",Test pad,,,,,,,,,19,,,,
TP10,"TPB1,27","TPB1,27","B1,27",Test pad,,,,,,,,,19,,,,
TP11,"TPB1,27","TPB1,27","B1,27",Test pad,,,,,,,,,19,,,,
TP12,"TPB1,27","TPB1,27","B1,27",Test pad,,,,,,,,,19,,,,
TP13,"TPB1,27","TPB1,27","B1,27",Test pad,,,,,,,,,19,,,,
TP14,"TPB1,27","TPB1,27","B1,27",Test pad,,,,,,,,,19,,,,
TP15,"TPB1,27","TPB1,27","B1,27",Test pad,,,,,,,,,19,,,,
TP16,"TPB1,27","TPB1,27","B1,27",Test pad,,,,,,,,,19,,,,
TP17,"TPB1,27","TPB1,27","B1,27",Test pad,,,,,,,,,19,,,,
TP18,"TPB1,27","TPB1,27","B1,27",Test pad,,,,,,,,,19,,,,
TP19,"TPB1,27","TPB1,27","B1,27",Test pad,,,,,,,,,19,,,,
TP20,"TPB1,27","TPB1,27","B1,27",Test pad,,,,,,,,,19,,,,
U1,STM32F103CBT6,STM32F103CBT6,QFP50P900X900X160-48N,"Mainstream Performance line, ARM Cortex-M3 MCU with 128 Kbytes Flash, 72 MHz CPU, motor control, USB and CAN Check prices",In Stock, ARM® Cortex®-M3 STM32F1 Microcontroller IC 32-Bit 72MHz 128KB (128K x 8) FLASH ,STMicroelectronics,STM32F103CBT6,,,,LQFP-48 STMicroelectronics,,None,https://pricing.snapeda.com/search/part/STM32F103CBT6/?ref=eda,,
UART,,PINHD-1X3,1X03,PIN HEADER,,,,,,,,,92,,,,
X1,TSW-102-07-G-S,TSW-102-07-G-S,TSW-102-XX-G-S,"THROUGH-HOLE .025 SQ POST HEADER""",,,Samtec Inc.,,TSW-102-07-G-S,,,,,,,,
X2,TSW-102-07-G-S,TSW-102-07-G-S,TSW-102-XX-G-S,"THROUGH-HOLE .025 SQ POST HEADER""",,,Samtec Inc.,,TSW-102-07-G-S,,,,,,,,
X3,MINI-USB-32005-301,MINI-USB-32005-301,32005-301,MINI USB-B Conector,,,,,,unknown,unknown,,0,,,,
X4,2540-5,2540-5,PAK100/2500-5-40,3M (TM) Pak 100 4-Wall Header,,,,,,9838414,unknown,,0,,,,
