"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";"TP_SIGNAL_NAME";
"C1";"220pF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"54";"C";"";
"C2";"3pF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"54";"C";"";
"C3";"120pF";"C2,5-3";"C2.5-3";"CAPACITOR";"";"";"";"";"";"";"";"";"";"";"";"";"38";"";"";
"C4";"30pF";"C-TRIMM808";"CTRIM808-BC";"Trimm capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"3";"C";"";
"C5";"30pF";"C-TRIMM808";"CTRIM808-BC";"Trimm capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"3";"C";"";
"C6";"0.1u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"54";"C";"";
"C7";"1pF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"54";"C";"";
"C8";"120pF";"C2,5-3";"C2.5-3";"CAPACITOR";"";"";"";"";"";"";"";"";"";"";"";"";"38";"";"";
"C9";"0.1u";"C2,5-3";"C2.5-3";"CAPACITOR";"";"";"";"";"";"";"";"";"";"";"";"";"38";"";"";
"C10";"0.1uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"54";"C";"";
"C11";"0.1uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"54";"C";"";
"IC1";"TL084D";"TL084D";"SO14";"OP AMP";"";"";"";"";"";"";"";"";"";"";"";"";"4";"X";"";
"R1";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"85";"R";"";
"R2";"3.3K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"85";"R";"";
"R3";"1.5K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"85";"R";"";
"R4";"100K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"85";"R";"";
"R5";"1.8M 1%";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"79";"R";"";
"R6";"200K 1%";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"79";"R";"";
"R7";"2M 1%";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"79";"R";"";
"R8";"20K 1%";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"79";"R";"";
"R9";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"85";"R";"";
"R10";"3.3K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"85";"R";"";
"R11";"1.5K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"85";"R";"";
"R12";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"85";"R";"";
"R13";"3.3K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"85";"R";"";
"R14";"1.5K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"85";"R";"";
"R15";"300E";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"79";"R";"";
"R16";"120e";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"85";"R";"";
"R17";"180E";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"79";"R";"";
"R18";"120E";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"79";"R";"";
